block_group,site_id,DestinationRank,TravelTime,Miles,Kilometers
148,18,43,42.63506984,19.80550314,31.86705456
148,19,13,22.24379114,9.107856751,14.65454151
148,20,18,25.60295051,10.05458097,16.17782078
148,21,30,32.01297672,13.63335946,21.93607538
148,22,46,42.20618014,21.00444986,33.79615983
148,23,17,24.17477914,10.04154429,16.15684476
148,24,39,31.86867494,17.7851713,28.61634062
148,25,27,23.32811376,12.07198015,19.42381607
148,26,24,28.24480604,11.51128135,18.52165169
148,27,11,27.14413988,8.668895358,13.94825263
148,28,12,18.58873962,9.033534426,14.53495689
148,29,47,51.17063544,22.79874506,36.6831808
148,30,2,15.45845714,2.937210302,4.725971376
148,31,1,4.366764422,0.852819142,1.372186
148,32,28,32.41715615,12.26381373,19.73247629
148,33,42,38.71789489,19.54221794,31.44342867
148,34,19,30.56938766,10.35155511,16.65565218
148,35,15,33.97836689,9.823841917,15.80656164
148,36,29,35.3701316,12.96625552,20.86270513
148,37,45,48.32410801,20.48659801,32.96293621
148,38,37,36.43455461,16.01444603,25.76724366
148,39,34,35.82253177,15.0160873,24.16088446
148,40,4,13.62771049,4.118073106,6.625979627
148,41,16,22.68627839,9.834884908,15.82432982
148,42,35,33.73046426,15.17640462,24.41883503
148,43,31,33.2283276,13.75518853,22.13209834
148,44,44,40.19495895,20.10026622,32.34132834
148,45,6,17.76413745,5.604806922,9.018134337
148,46,3,14.64874323,3.429885678,5.518686056
148,47,5,17.45223409,5.250284703,8.447708086
149,1,24,28.38579885,11.46110597,18.4409195
149,2,11,22.35924767,7.866919714,12.65787382
149,3,32,34.68787083,13.74208137,22.11100893
149,4,10,15.68261699,7.092250848,11.41143162
149,5,9,20.5448327,6.668922692,10.73029661
149,6,23,20.66700505,11.34843051,18.25962469
149,7,8,19.67353933,6.663084857,10.72090354
